SalesTerritoryKey,Region,Country,Continent,Image link
1,Northwest,United States,North America,https://1drv.ms/i/c/b55dcc2bf87979e7/IQRsrmygBMmLRqM2xRWlgCkVARiZU1fOCIMkenMVpjUcV4I?width=290&height=174
2,Northeast,United States,North America,https://1drv.ms/i/c/b55dcc2bf87979e7/IQRsrmygBMmLRqM2xRWlgCkVARiZU1fOCIMkenMVpjUcV4I?width=290&height=174
3,Central,United States,North America,https://1drv.ms/i/c/b55dcc2bf87979e7/IQRsrmygBMmLRqM2xRWlgCkVARiZU1fOCIMkenMVpjUcV4I?width=290&height=174
4,Southwest,United States,North America,https://1drv.ms/i/c/b55dcc2bf87979e7/IQRsrmygBMmLRqM2xRWlgCkVARiZU1fOCIMkenMVpjUcV4I?width=290&height=174
5,Southeast,United States,North America,https://1drv.ms/i/c/b55dcc2bf87979e7/IQRsrmygBMmLRqM2xRWlgCkVARiZU1fOCIMkenMVpjUcV4I?width=290&height=174
6,Canada,Canada,North America,https://1drv.ms/i/c/b55dcc2bf87979e7/IQSz515GZqrbRYndF8V49Z4xAbN1Dp4Z7Ae1RLt5OgfYsJI?width=1280&height=640
7,France,France,Europe,https://1drv.ms/i/c/b55dcc2bf87979e7/IQQ0Up2DNC73RLqSEGcCDfjAAbpYhkFb21CnNHbdv_UfZik
8,Germany,Germany,Europe,https://1drv.ms/i/c/b55dcc2bf87979e7/IQTxUpNupRiwRo3CT1JFzvP-ARPIfbOSM0CHG-ppOujmar4
9,Australia,Australia,Pacific,https://1drv.ms/i/c/b55dcc2bf87979e7/IQRYUcCg1LlsR4XGyCgtVLzKAeCwR5_ZHU0dT87_xZ-Ox9g
10,United Kingdom,United Kingdom,Europe,https://1drv.ms/i/c/b55dcc2bf87979e7/IQQn5sIZlWS2T7Do7pxhCN8gAafOqBw_Rg-tfBnkZ9j42m4?width=2560&height=1280
